username	current_location	residence	job	name	mail	blood_group	address	ssn	registration	user_id	company	station_ID
satotaro	(Decimal('17.3939375'), Decimal('-53.232027'))		コピーライター	吉田 零	itonanami@yahoo.com	A-		494-58-5425	08/21/2025, 00:00:00	1128	吉田電気合同会社	567
nsilveira	(Decimal('-50.8670775'), Decimal('148.947123'))			Luiz Henrique Pastor	davi-lucca44@hotmail.com	A-	"Residencial de Silveira, 391
Betânia
88409473 Castro de Goiás / MS"	37254960800	2024/03/19	259	Moraes	681
conniebishop	(Decimal('-12.4219005'), Decimal('-153.106661'))		Pilot, airline	Natalie Watts	donnathompson@gmail.com	AB-		837-46-0507	2023-09-08	584	Mata-Ramirez	225
jvespucci	(Decimal('-72.7820325'), Decimal('114.497372'))		Television production assistant	Flora Zoppetti	ccuriel@tim.it	AB-	"Stretto Piovani, 8 Piano 5
03019, Supino (FR)"	LTTMRN35E19F233D	12/10/2020, 00:00:00	850	Staglieno, Togliatti e Grasso Group	525
piacentinitelemaco	(Decimal('35.1424495'), Decimal('115.627674'))			Mirko Ferrata-Gucci	pieroparpinel@tele2.it	A+	"Strada Mario, 22
08021, Bitti (NU)"	VRGPRN03P23F901Q	2021/07/20	1722	Boccaccio e figli	524
maysa93	(Decimal('-32.1209495'), Decimal('70.123266'))			Beatriz Sousa	rebecapires@uol.com.br	B+	"Quadra de Azevedo, 9
Vila Calafate
87319-239 Sales / AL"	49230785105	08 Sep 2025	1354	Albuquerque S.A.	671
nogueiranoah	(Decimal('30.5872105'), Decimal('-163.235079'))		Engenheiro naval	Sra. Isabelly Campos	pcosta@ig.com.br	B-	"Viaduto de Novaes, 10
Bonsucesso
25542-053 Rocha / AC"	06578214976	2020/07/12	1261	da Cunha	203
momokoinoue	(Decimal('-22.383262'), Decimal('-174.637360'))			山本 修平	akimura@gmail.com	A-		187-70-9257	2019/06/17	1652	佐々木食品合同会社	553
eeckbauer	(Decimal('-58.8967875'), Decimal('-117.856314'))		Polizist	Selma Adolph-Stroh	bonbachrotraut@googlemail.com	AB+	"Geiselgasse 5921
36954 Suhl"	350-05-8751	2018-10-22	1412	Rudolph Margraf GmbH & Co. KG	412
raffaellinomarangoni	(Decimal('16.2625425'), Decimal('-13.324515'))			Sig.ra Melania Mocenigo	petrocellianita@libero.it	AB+	"Contrada Pincherle, 18
15078, Rocca Grimalda (AL)"	SGNPRS89A63F348A	2025-07-06	40	Cafarchia, Ruggieri e Scotto SPA	477
iyamaguchi	(Decimal('61.8577835'), Decimal('53.808194'))			中村 明美	stanaka@gmail.com	A+	鳥取県香取市下宇和田9丁目24番17号 シティ入谷622	443-53-3497	2019-11-07	832	松本水産有限会社	663
suzukiyumiko	(Decimal('51.669482'), Decimal('28.955330'))			高橋 桃子	qito@gmail.com	B-	岐阜県香取郡東庄町細野24丁目5番20号 芝大門シャルム412	622-65-4756	2021/12/13	539	有限会社中村電気	243
itotaichi	(Decimal('65.8511845'), Decimal('171.928761'))			鈴木 さゆり	knakajima@gmail.com	O-	静岡県長生郡長南町池之端7丁目16番10号 ハイツ一ツ橋760	755-09-1291	16 Apr 2020	415	石川印刷株式会社	451
maurizio35	(Decimal('88.3406085'), Decimal('-142.186801'))		Warehouse manager	Sole Delle	tchittolini@yahoo.com	A-	"Borgo Caruso, 839
54013, Agnino (MS)"	TRTGUO36A62C414X	2019/04/10	1612	Gozzi e figli	166
fbauer	(Decimal('-44.586721'), Decimal('-171.737293'))			Henny Linke B.Sc.	radmila68@hotmail.de	B-	"Annett-Mohaupt-Platz 98
16313 Heinsberg"	202-33-7863	2023/12/08	1090	Röhricht GmbH & Co. KG	187
ana-juliamontenegro	(Decimal('-69.503336'), Decimal('175.925591'))			Maya Alves	leaomaria-helena@bol.com.br	AB+	"Vila de Ribeiro, 374
Santa Lúcia
43644948 Vasconcelos das Pedras / SC"	38920167559	2023/12/07	217	Silva	382
francesca52	(Decimal('-47.045689'), Decimal('-74.012596'))		Producer, television/film/video	Francesca Fittipaldi	ztrentini@libero.it	O+		FRRGNT81L58G316E	2019/01/05	216	Manolesso, Morpurgo e Duse Group	689
pbalbi	(Decimal('-32.1745965'), Decimal('116.414384'))		Actuary	Lando Lombroso-Carocci	vincenzosalandra@outlook.com	A-		CSCNCL65D57C974P	09/13/2024, 00:00:00	1510	Leoncavallo SPA	655
reisaito	(Decimal('-72.9402145'), Decimal('5.330963'))		アニメーター	坂本 舞	oito@gmail.com	B+	福島県長生郡白子町東神田22丁目27番3号 鍛冶ケ沢コート458	810-07-1512	2022/06/15	1848	有限会社小林運輸	376
malacarneermes	(Decimal('54.0886685'), Decimal('-81.549732'))		Archaeologist	Greca Grisoni	uberto14@tiscali.it	AB+	"Rotonda Filogamo, 33 Piano 5
28070, Terdobbiate (NO)"	ZTTGLI24E42B854F	30 Nov 2019	1355	Rubbia s.r.l.	340
otavio90	(Decimal('49.229992'), Decimal('65.090312'))		Atuário	Lívia Fernandes	mcasa-grande@ig.com.br	AB+		50397428197	2021/04/26	69	Novaes Fogaça S.A.	574
rika01	(Decimal('86.9395345'), Decimal('-73.521889'))			吉田 直樹	tanakamaaya@yahoo.com	B-	三重県小笠原村日比谷公園16丁目20番3号 中小来川パーク754	566-45-7274	2020-09-10	1790	山本通信有限会社	203
valeriatogliatti	(Decimal('72.429642'), Decimal('-111.261614'))			Ruggiero Respighi-Eco	vanessatacchini@tin.it	B+	"Stretto Arnulfo, 570 Piano 6
20069, Vaprio D'Adda (MI)"	BCCGRN16H44A876H	03/25/2019, 00:00:00	2003	Giulietti s.r.l.	382
froehlichann-kathrin	(Decimal('-65.9082215'), Decimal('-84.593676'))		Binnenschiffer	Franz Neureuther	blankareinhardt@aol.de	B+	"Bertold-Eberth-Gasse 72-90
08656 Melsungen"	913-91-8476	09/04/2022, 00:00:00	2160	van der Dussen Benthin AG	96
candrade	(Decimal('-79.6754675'), Decimal('-24.449698'))		Neurologista	Maria Vitória Novaes	raulpimenta@yahoo.com.br	A-	"Quadra da Cunha, 515
Mangueiras
86812167 Camargo / AL"	68149203796	21 Jul 2025	873	Gomes	653
coluccio37	(Decimal('83.477672'), Decimal('-167.728454'))			Stefano Seddio-Almagià	adrianodeledda@virgilio.it	A+	"Via Tosi, 29 Piano 6
87043, Bisignano (CS)"	CPPSLV43R68C038G	2023-06-17	1993	Iannotti-Maccanelli Group	165
